"City:    ","PHILADELPHIA          "
"State:   ","PA"
"WBAN No: ", 13739
"Lat(N):  ", 39.88
"Long(W): ", 75.25
"Elev(m): ",     9
"Pres(mb):",  1016
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.2, 3.3, 3.8, 4.1, 3.9, 3.3, 4.1, 4.5, 4.7, 4.8, 2.8, 2.0, 3.1, 3.3
61, 2, 2.5, 3.2, 3.4, 3.5, 3.1, 3.1, 3.7, 3.9, 3.9, 3.9, 1.6, 1.4, 1.9, 2.0
61, 3, 3.7, 4.3, 4.4, 4.3, 3.2, 4.8, 5.4, 5.5, 5.4, 5.5, 2.6, 2.9, 3.4, 3.5
61, 4, 4.6, 4.9, 4.8, 4.4, 2.8, 5.8, 6.1, 6.0, 5.8, 6.1, 2.5, 3.2, 3.4, 3.4
61, 5, 5.2, 5.3, 4.9, 4.4, 2.5, 6.5, 6.5, 6.3, 5.9, 6.6, 2.7, 3.5, 3.4, 3.7
61, 6, 5.9, 5.8, 5.3, 4.6, 2.4, 7.3, 7.3, 7.0, 6.5, 7.4, 3.2, 4.1, 3.9, 4.2
61, 7, 5.6, 5.5, 5.2, 4.5, 2.4, 6.9, 7.0, 6.7, 6.3, 7.1, 2.9, 3.8, 3.7, 3.9
61, 8, 5.0, 5.3, 5.1, 4.6, 2.8, 6.5, 6.7, 6.6, 6.3, 6.8, 2.8, 3.7, 3.8, 3.9
61, 9, 4.6, 5.3, 5.3, 5.1, 3.6, 6.1, 6.7, 6.7, 6.6, 6.8, 3.2, 3.8, 4.3, 4.3
61,10, 3.4, 4.5, 4.8, 4.9, 4.0, 4.8, 5.6, 5.9, 5.9, 5.9, 3.4, 3.3, 4.2, 4.3
61,11, 2.2, 3.0, 3.4, 3.5, 3.1, 2.9, 3.6, 3.9, 4.0, 4.0, 2.2, 1.7, 2.4, 2.6
61,12, 1.7, 2.7, 3.1, 3.3, 3.1, 2.5, 3.2, 3.5, 3.7, 3.7, 2.2, 1.5, 2.3, 2.5
62, 1, 1.9, 2.8, 3.1, 3.3, 2.9, 2.6, 3.3, 3.5, 3.7, 3.7, 2.2, 1.5, 2.3, 2.5
62, 2, 2.5, 3.2, 3.5, 3.5, 3.1, 3.3, 3.8, 4.0, 4.1, 4.1, 1.9, 1.6, 2.2, 2.3
62, 3, 4.2, 5.1, 5.3, 5.2, 4.0, 5.9, 6.6, 6.8, 6.7, 6.8, 3.5, 3.9, 4.6, 4.6
62, 4, 4.7, 5.0, 4.9, 4.5, 2.8, 6.1, 6.4, 6.3, 6.0, 6.4, 2.7, 3.6, 3.8, 3.8
62, 5, 5.7, 5.8, 5.4, 4.8, 2.7, 7.1, 7.2, 7.0, 6.5, 7.3, 3.3, 4.2, 4.1, 4.3
62, 6, 5.7, 5.6, 5.2, 4.5, 2.4, 7.0, 7.0, 6.7, 6.2, 7.2, 3.1, 4.0, 3.7, 4.0
62, 7, 5.8, 5.7, 5.3, 4.7, 2.5, 7.3, 7.3, 7.1, 6.6, 7.5, 3.3, 4.3, 4.1, 4.4
62, 8, 5.4, 5.8, 5.6, 5.1, 3.0, 7.1, 7.4, 7.3, 6.9, 7.4, 3.5, 4.5, 4.6, 4.7
62, 9, 4.2, 4.7, 4.8, 4.6, 3.2, 5.6, 6.0, 6.1, 5.9, 6.1, 2.8, 3.5, 3.9, 3.9
62,10, 3.1, 4.0, 4.3, 4.3, 3.4, 4.2, 4.8, 5.0, 5.1, 5.1, 2.6, 2.5, 3.2, 3.2
62,11, 2.1, 2.9, 3.3, 3.4, 3.0, 2.9, 3.6, 3.8, 4.0, 4.0, 2.2, 1.8, 2.5, 2.7
62,12, 1.7, 2.6, 3.0, 3.2, 3.0, 2.5, 3.2, 3.5, 3.7, 3.7, 2.2, 1.5, 2.3, 2.5
63, 1, 2.0, 3.0, 3.4, 3.6, 3.3, 2.9, 3.6, 3.9, 4.1, 4.2, 2.4, 1.8, 2.7, 2.8
63, 2, 2.8, 3.8, 4.1, 4.2, 3.6, 3.9, 4.6, 4.9, 5.0, 5.0, 2.8, 2.5, 3.4, 3.5
63, 3, 3.7, 4.3, 4.4, 4.2, 3.1, 4.9, 5.4, 5.5, 5.3, 5.5, 2.4, 2.9, 3.3, 3.3
63, 4, 5.2, 5.7, 5.5, 5.1, 3.3, 7.0, 7.3, 7.3, 7.0, 7.4, 3.3, 4.3, 4.6, 4.6
63, 5, 5.7, 5.8, 5.5, 4.8, 2.7, 7.3, 7.4, 7.2, 6.7, 7.5, 3.2, 4.2, 4.1, 4.4
63, 6, 6.0, 5.9, 5.4, 4.7, 2.4, 7.6, 7.6, 7.3, 6.8, 7.8, 3.5, 4.6, 4.3, 4.7
63, 7, 6.1, 6.0, 5.6, 4.9, 2.6, 7.7, 7.8, 7.5, 7.0, 7.9, 3.5, 4.6, 4.4, 4.7
63, 8, 5.3, 5.6, 5.4, 4.9, 2.9, 7.0, 7.2, 7.1, 6.7, 7.3, 3.2, 4.2, 4.3, 4.4
63, 9, 4.3, 4.9, 5.0, 4.8, 3.3, 5.7, 6.2, 6.2, 6.1, 6.3, 2.9, 3.5, 3.9, 3.9
